31	33	33	162.3800754
5.4	5.4	6	853.4072885
12	12	12	527.1624249
9	9.1	19.1	2266.985686
10.5	10.9	18	260.293851
14	15	16	83.50149699
25	25	25	7.370361065
4.29	4.99	4.99	5517.269438
12	13	13	4079.74564
28	21.99	22	553.2364976
4.7	4.9	4.9	1954.014659
15	35	35	102.0963053
20	13.5	13.5	349.9130209
6.6	7.2	7.2	291.6763998
21.99	21.99	24	684.9622536
11.5	12	12	1206.630828
13.5	13.9	15	64.79891974
10	30	30	14.9298359
10	10.5	10.5	28.80374204
20	22	22	242.4784985
12	13	13	106.2778852
19.5	29	29	1258.599733
23	23	24	39.77841402
8.5	8.5	8.5	1893.923878
5	10.8	10.8	3289.040286
32	32	32	1718.625126
4.5	4.5	4.5	201.9565685
5.9	7.5	7.5	1286.291746
50	55	55	221.654912
12.7	13	13.65	714.5808484
22.5	24	24	225.7954827
30	39	39	132.385632
13	13.3	14.18	384.2332046
14.8	16	16	35.08972626
11.5	11.8	11.8	1566.310598
13	13	13	77.99458671
15.3	15.3	15.3	379.8560546
13	16	16	1877.66517
73	70.81	85	26.26785107
8.6	9.8	9.8	1072.08704
18.5	20	20	853.4825651
16	17	17	715.8528402
14.8	14.8	14.8	919.5831242
34	34	34	0.994428926
13.9	17.5	26	10608.98982
17	17	17	2987.449155
5.3	5.6	10	2489.815274
11	13	13	2463.750628
9.9	11	11	2613.273139
16.5	16.5	16.5	1495.268868
7.4	9	9	356.3253975
18	18	18	29.9683166
11.5	15.84	18	353.4884722
13	14	14	584.5091008
16.5	20	20	72.77698049
23	23	24	516.7587445
21.5	23	24	259.2843998
32	32	32	25.45693531
16	16	16	31.6622804
19.8	24	24	65.96430011
22	22.5	22.5	771.7305229
35	35	35	38.6471215
24.5	24.5	25.5	158.7904279
16.5	16.5	16.5	141.853798
18	20	20	4008.572903
38	38	38	431.9945473
18	31	31	12.10371844
15.5	16.5	16.5	92.63524647
9	9.8	10	1041.53788
40	45	45	241.3723725
58	70	70	70.73393025
27	35	35	704.5114619
12.5	14.5	15	1594.125567
12	9.6	9.3	536.3982869
12	13.5	13.5	560.1215047
17	16.5	15	2713.327316
56	65	58	204.3174001
22	25	25	673.8636525
16.5	18.5	18.5	984.3289028
12	12	12	64.59411738
9.5	9.8	10	120.4034422
18	18	18	40.02998876
32	32	48	40.54901013
9.6	9.6	18	13.37535046
15	15	15	3479.409809
11.79	12.2	13.3	7981.593801
9.1	9.6	9.8	425.7366035
45	45	45	108.8434656
12.3	13.6	12.7	61.33922073
4.7	5	5	599.0891327
