2053249,没有,喜欢,小说,世界,时候,翻译,作者,讨厌,读完,感觉,脏话,译本,觉得,精神,社会,厌恶,叛逆,看到,青春,电影
1346815,生活,绘本,时候,没有,直子,可爱,觉得,生病,高木,东西,感觉,喜欢,细节,可能,开始,共鸣,起来,日子,搞笑,朋友
1027191,美国,了解,法律,民主,宪法,国家,制度,代价,没有,作者,历史,人民,权利,个人,政治,可能,社会,修正案,内容,问题
1827374,结局,经典,推理,小说,时候,看到,看过,精彩,法律,有点,电影,可能,杀人,觉得,故事,知道,情节,没有,人物,火车
3191328,小说,觉得,故事,时代,电影,没有,情节,品牌,名牌,时候,毫无,人物,狗血,剧情,看过,应该,物质,上海,生活,不能
2297697,故事,房间,感觉,小说,喜欢,觉得,绝望,洋子,推理,小饰,日本,没有,暗黑,咒语,想起,情节,文字,看到,想象力,尸体
4113090,台湾,大陆,作者,了解,社会,政治,文笔,知道,历史,有点,适合,没有,事件,生活,描述,故事,感觉,看到,记录,时候
4173968,小哥,感觉,开始,看到,有点,觉得,没有,油瓶,出现,腐女,盗墓,喜欢,情节,知道,故事,还好,东西,湖底,读者,推理
1703544,兄弟,时代,下册,情节,没有,起来,觉得,夸张,结尾,世界,故事,描写,小说,命运,喜欢,写出,结局,社会,像是,开始
4011670,作者,没有,读完,喜欢,无法,自杀,还有,是否,资格,觉得,失格,人人,看到,翻译,日本,小说,应该,存在,人间,可能
1401425,文革,读完,喜欢,没有,小说,兄弟,时候,感觉,时代,描写,作品,孩子,不能,文字,活着,世界,有点,现实,历史,美丽
4038164,小说,故事,没有,狗血,上海,实在,开始,时代,生活,出来,自贡,标签,好看,有点,剧情,时候,好像,学校,乞丐,看着
1088065,阿Q,精神,先生,没有,胜利,人物,中国,东西,正传,时代,屌丝,课本,经典,劣根性,性情,中学,时候,喜欢,包括,眼睛
2139305,故事,女人,巴别,妻子,喜欢,知道,没有,男人,感觉,爱情,理解,露西,无法,需要,不会,小说,世界,自杀,不能,觉得
4124727,暴力,革命,时候,思考,喜欢,感觉,伦理,没有,美学,思维,人生,文字,知道,语言,看到,情欲,觉得,部分,应该,东西
3017857,小说,没有,生活,故事,人性,扭曲,描写,觉得,女人,性格,感觉,时候,悲剧,月亮,女性,可怜,喜欢,枷锁,儿女,社会
1082518,喜欢,青春,小说,没有,时候,觉得,世界,读完,翻译,守望,愤怒,孩子,作者,生活,封面,守望者,发现,成为,东西,看到
4872671,文字,常识,作者,喜欢,专栏,世界,感觉,在于,知道,乡愁,觉得,文章,还有,出来,时代,佛祖,怀有,生命,一号线,思想
1006881,喜欢,时候,文字,看过,青春,没有,散文,觉得,文章,忧伤,散文集,时间,记得,迷恋,就算,故事,借来,读物,中学生,承认
1059406,时候,四娘,觉得,喜欢,记得,还有,文字,小学,世界,小说,看完,情节,没有,看到,有点,幻城,印象,角色,故事,记忆
1962929,喜欢,佳期,正东,没有,故事,结局,感觉,言情,无法,觉得,知道,文字,女主,思存,看到,不能,东子,讨厌,有点,足够
2070844,三毛,荷西,喜欢,没有,时候,文字,不知,记得,女子,人生,爱情,知道,不能,生命,生活,听说,思想,家庭,实在,花落
1291760,时候,小说,故事,觉得,看过,喜欢,记得,好看,剧情,电视剧,青春,没有,有点,天使,情节,垃圾,同学,推荐,世界,我会
2022979,没有,喜宝,故事,男人,爱情,女人,觉得,人物,喜欢,小说,拥有,失去,看到,还有,时候,女主,青春,感觉,讨厌,女婿
1041007,开始,电影,没有,魔法,世界,时候,故事,喜欢,哈利,感觉,小学,童话,记得,需要,回忆,经典,看书,长大,好看,看到
2133556,小说,搞笑,觉得,喜欢,讽刺,同学,知道,没有,调侃,批判,作品,意义,想起,魔幻现实主义,时代,电子书,意思,方式,好笑,妓女
2331434,故事,小说,喜欢,没有,爱情,觉得,作者,看完,现实,青春,男女,人物,男主角,女主角,感觉,相信,知道,主角,时候,文笔
1361264,三毛,生活,喜欢,沙漠,故事,荷西,没有,时候,好看,爱情,读完,旅行,陪伴,生命,看到,觉得,版本,小学,还有,精彩
1022238,日本,文化,了解,民族,理解,中国,研究,觉得,分析,美国,作者,性格,解读,情义,历史,耻感,值得,作为,有点,时候
4231381,青春,回忆,没有,小说,时光,年少,喜欢,故事,想起,生活,时候,桐华,觉得,学习,成长,时代,看完,人生,同学,老师
3266968,吸引力,法则,觉得,时候,东西,宇宙,没有,秘密,能量,吸引,有点,唯心主义,推荐,想要,感觉,事情,起来,帮助,相信,完成
1007305,喜欢,小说,中国,没有,觉得,红楼,比如,版本,诗词,看过,生活,开始,读完,研究,知道,爱情,人生,实在,社会,一梦
1205370,羊脂球,时候,人性,喜欢,记得,小说,妓女,小学,悲剧,经典,不能,版本,揭露,觉得,名著,食物,记忆,高尚,短篇小说,无情
5275059,小说,没有,公路,世界,觉得,喜欢,文字,感觉,中国,时候,时间,回忆,结尾,看完,作品,读完,看到,看似,可能,东西
1856285,诗词,故事,喜欢,抄袭,作者,安意,古典,没有,东西,詩詞,文笔,觉得,看到,出现,女子,初见,名字,八卦,吸引,感觉
25747921,故事,觉得,时候,没有,感觉,文字,适合,鸡汤,喜欢,阅读,电影,读物,希望,青春,作者,中国,爱情,值得,小说,文艺
1949338,历史,皇帝,朱棣,作者,没有,喜欢,永乐,感觉,时候,好看,大帝,精彩,故事,榜样,看到,个人,传奇,看着,人物,汉子
3311009,歌词,喜欢,生活,道理,散文,适合,没有,觉得,感觉,时候,实在,有点,起来,思考,夕爷,发觉,失望,说教,坚持,应该
2250587,喜欢,生活,故事,日本,没有,知寿,小说,感觉,觉得,时候,可能,青山,世界,天气,无法,看完,味道,封面,年轻人,人生
1063190,喜欢,越南,行走,旅行,上海,父亲,文字,蔷薇,游记,男人,旅游,时候,朋友,看过,东西,开始,适合,小说,反复,岛屿
1019568,三国,时候,小说,喜欢,历史,英雄,注释,经典,中国,不读,启蒙,没有,故事,赤壁,地图,觉得,精彩,乱世,淘尽,街亭
1529893,喜欢,没有,地方,内河,故事,觉得,莲花,无法,文字,不能,生活,看过,经历,时候,看到,带来,作家,西藏,东西,旅途
3674537,历史,作者,没有,明史,看到,应该,看完,通俗,喜欢,人物,中国,作为,普及,读完,有点,好看,可惜,人生,文笔,读物
1008988,爱情,没有,电影,故事,小说,觉得,美国,时候,翻译,梦想,读完,悲剧,感觉,世界,原著,看过,想到,无法,可惜,出来
1770782,故事,没有,喜欢,风筝,作者,电影,孩子,有关,小说,情节,翻译,想起,看到,时候,理由,心灵,人性,面对,好看,读完
3879301,网游,没有,小说,故事,大神,言情,喜欢,时候,游戏,好看,少女,现实,觉得,看到,有点,打发,应该,知道,人物,只能
6082808,没有,魔幻,读完,故事,作者,时候,名字,时间,翻译,小说,世界,感觉,开始,文字,不可,经典,情节,译本,历史,关系
2154960,女人,爱情,故事,暗恋,电影,心理,喜欢,作家,没有,男人,描写,觉得,好看,陌生,孩子,先生,小说,短篇小说,起来,少女
26340138,书店,故事,小说,没有,喜欢,人生,阅读,作者,老板,读书,生活,读完,时候,孤岛,情节,世界,需要,觉得,适合,爱情
1045818,哲学,入门,世界,启蒙,时候,故事,觉得,没有,作为,思考,文化,哲学史,人生,不够,解释,读完,书籍,阅读,结构,小说
2253642,历史,皇帝,没有,正义,好看,知道,精彩,作者,英雄,政治,继续,有点,奸臣,还有,时间,应该,放弃,斗争,小说,三本
4010969,小说,故事,生活,爱情,读者,谈论,没有,喜欢,时候,想象,写作,结局,有点,需要,觉得,阅读,东西,美国,文字,文章
1007334,大学,青春,时候,生活,喜欢,没有,校园,觉得,人生,开始,印象,看过,现实,感觉,大学生,好像,男生,小说,毕业,样子
1963310,喜欢,小说,文字,堇年,知道,故事,情感,作者,没有,文笔,看到,情节,简生,无限,过于,文学,人物,看过,无法,障碍
1291809,世界,喜欢,小说,没有,故事,独角兽,觉得,有点,存在,影子,仙境,不能,博士,看到,现实,知道,逃离,双线,读完,时间
1017143,生命,喜欢,没有,不能,小说,存在,昆德拉,东西,媚俗,哲学,重读,意义,生活,女人,无法,人们,理解,时候,看到,人类
1465324,翻译,版本,作者,电影,时间,小说,译本,语言,没有,喜欢,封面,心理,了解,部分,理解,知道,故事,继续,相信,感觉
1474773,漫画,热血,梦想,海贼王,友情,尾田,没有,时代,看到,故事,小说,正义,人类,喜欢,感觉,连载,男子汉,问题,全集,战斗
3006581,杀人,凶手,没有,模式,结局,故事,感觉,觉得,心理,推理,经典,时候,精彩,孤岛,小说,有点,知道,死亡,歌谣,阿加莎
1449351,觉得,小说,喜欢,起来,时候,呐喊,阿Q,阅读,中国,应该,时代,正传,先生,小时候,没有,才能,狂人日记,中学,社会,有点
1039487,密室,没有,世界,哈利,感觉,觉得,电影,喜欢,开始,魔法,可能,有点,时候,推理,麻瓜,能力,结局,蜘蛛,海格,精彩
1255624,喜欢,小说,爱情,性格,电视剧,人物,没有,故事,实在,有点,作品,决定,人生,神雕,全书,时候,原著,感情,世间,江湖
1255625,喜欢,人物,没有,故事,无人,虚竹,情节,小说,觉得,堪称,主角,历史,老爷子,不冤,实在,英雄,笔下,放下,还有,起来
1066462,错过,相遇,故事,喜欢,电影,时候,相信,平行线,美丽,才能,不会,书店,习惯,缘分,漫画,城市,相交,遇见,绘本,爱情
3066477,宇宙,人类,三体,没有,森林,科幻,地球,感觉,技术,面壁,人物,理论,社会学,世界,社会,觉得,人性,时间,描写,部分
